,Title,Link,Genre,Author,Description
0,Thức Uống Và Thạch Trái Cây Đặc Sắc,https://khosachonline.com/sach/thuc-uong-va-thach-trai-cay-dac-sac,Ẩm thực - Nấu ăn,Ưng Đông Chương,"Thạch là một món ăn ngon, bổ, mát rất có lợi cho sức khỏe. Từ xưa đến nay ta vẫn thường dùng loại rau câu sợi hoặc rau câu bột (agar) để làm những món thạch đơn giản như: thạch lá dứa nước dừa, thạch cà phê, rau câu vân thủy, rau câu trứng gà.

Các loại nước uống cũng vậy, chỉ với những loại nước uống thông dụng trong gia đình, được pha chế đơn giản từ trái cây.

Cuốn sách này giới thiệu đến các bạn một số loại thạch được làm từ nước ép các loại trái cây kết hợp với bột rau câu delly và một số cách pha chế các loại nước sinh tố, nước giải khác có rượu, các loại nước giải khát bổ dưỡng.
Mục lục:

Lời nói đầu
Thanh long óng ánh
Dưa mật và dâu tây
Dưa mật thơm ngon
Xoài và Kiwi
............"
1,Văn Hóa Ẩm Thực Ninh Bình,https://khosachonline.com/sach/van-hoa-am-thuc-ninh-binh,Ẩm thực - Nấu ăn,Vũ Văn Lâu,"Ninh Bình là một trong những tỉnh nằm ở vùng duyên hải thuộc châu thổ sông Hồng, có những nét đặc thù riêng của nền văn minh lúa nước, của văn hoá sông Hồng, trong đó có văn hoá ẩm thực. Và ở mỗi vùng miền trên dải đất này lại có những món đặc sản riêng không chỉ hợp khẩu vị với người dân sở tại mà còn làm cho nhiều du khách cả trong nước và Quốc tế đến đây thích thú, say lòng.
Tương truyền, cơm cháy Ninh Bình được hình thành hơn 100 năm (từ cuối thế kỷ 19), do một chàng thanh niên người Ninh Bình tên là Hoàng Thăng học được và phát triển từ một món ăn của người Hoa, sau đó mở rất nhiều tiệm ăn ở Hà Nội lẫn Ninh Bình. Từ đó món cơm cháy được lưu truyền, phát triển và trở thành một đặc sản của vùng đất Cố đô. Ngày nay, còn có riêng một dòng cơm cháy gia truyền nổi tiếng và thơm ngon mang tên Hoàng Thăng."
2,Nghệ Thuật Pha Chế 460 Loại Rượu Cocktail,https://khosachonline.com/sach/nghe-thuat-pha-che-460-loai-ruou-cocktail,Ẩm thực - Nấu ăn,Thiên Kim,"Hướng dẫn cách pha chế rượu - cocktail cho các dịp khác nhau như: đồ uống trước bữa tối; đồ uống sau bữa tối; đồ uống ít chất bổ; đồ uống thời tiết nóng...Giới thiệu tủ đựng cocktail, các loại cockatil, cocktail trái cây và cocktail không có chất rượu...

Chương 1. Tủ đựng rượu Cocktail
Chương 2. Các loại Cocktail
Chương 3. Các thức uống kiểu Mỹ và thức uống khác vào mùa hạ
Chương 4. Các loại rượu pha thêm hương và rượu Puch
Chương 5. Các thức uống mùa hạ
Chương 6. Các loại rượu cốc có trứng, bia hoà rượu pha đường hâm nóng và rượu Puch sữa
Chương 7. Các thức uống nóng, các loại rượu Puch
Chương 8. Các thức uống khác
Chương 9. Cách chọn và phục vụ các loại rượu"
3,Kỹ Thuật Chế Biến Các Món Lẩu Và Súp,https://khosachonline.com/sach/ky-thuat-che-bien-cac-mon-lau-va-sup,Ẩm thực - Nấu ăn,LÊ THANH XUÂN,"Trong cuộc sống hiện nay, món lẩu và món súp đã và đang là những món ăn ngon, hợp khẩu vị, lịch sự và rất phổ biến trong các gia đình ở nước ta mỗi khi tổ chức liên hoan hay các dịp lễ tết
Để giúp các bạn nội trợ chế biến được các món lẩu và súp ngon, lạ miệng và hấp dẫn, Nhà xuất bản Thanh niên xin giới thiệu cuốn: “ Kỹ thuật chế biến và các món lẩu và súp”
Cuốn sách gồm có 2 phần chính:
Chương 1: Kỹ thuật chế biến các món lẩu
Chương 2: Kỹ thuật chế biến các món súp
 "
4,Kỹ Thuật Chế Biến Các Món Lẩu Xốt Súp,https://khosachonline.com/sach/ky-thuat-che-bien-cac-mon-lau-xot-sup,Ẩm thực - Nấu ăn,Lê Thanh Xuân,"Món lẩu, món xốt, món súp, (phụ gia) đã và đang là những món ăn ngon, hợp khẩu vị, lịch sự và rất phổ biến trong các gia đình Việt mỗi khi tổ chức liên hoan hay các dịp lễ tế. Cuốn sách được biên soạn với mục đích giúp các bạn nội trợ chế biến được các món lẩu và súp, ngon, lạ miệng và hấp dẫn:
- Lẩu bò, lẩu sườn, lẩu dạ heo
- Lẩu la hán, lẩu chay, lẩu đậu phụ
- Súp bánh dầy, súp tôm, súp cá
- Súp dưa chuột muối, súp dưa non có kem...
- Xốt cà, xốt pho mát, xốt ..."
5,Kỹ Thuật Chế Biến Trái Cây,https://khosachonline.com/sach/ky-thuat-che-bien-trai-cay,Ẩm thực - Nấu ăn,Từ Triệu Hải - Cao Tích Vĩnh,"Chế biến trái cây: là các nguyên tắc cơ bản trong việc chế biến trái cây, giới thiệu tường tận kỹ thuật chế biến
80 loại trái cây như: cam, quýt, táo lớn , nho, lê, đào, sơn trà, táo nhỏ, mận, hạnh nhân… 
Bao gồm các kỹ thuật đóng hộp, phơi khô lấy nước, ngâm rượu làm mứt...
Kỹ thuật chế biến trái cây được chia ra thành các phần như sau:
Chương 1:Tri thức can bản về chế biến trái cây
Chương 2: xữ lý trước khi chế biến trái cây và yêu cầu đối với phụ liệu
Chương 3: Phân loại các sản phẩm trái cây chế biến và nguyên tắc bảo quản trong chế biến
Chương 4: kỹ thuật chế biến cam quýt
Chương 5: Kỹ thuật chế biến táo
Chương 6: Kỹ thuật chế biến nho
Chương 7: Kỹ thuật chế biếnlê
Chương 8: Kỹ thuật chế biến đào
Chương 9: Kỹ thuật chế biến sơn trà
Chương 10:Kỹ thuật chế biến táo
Chương 11:Kỹ thuật chế biến đào mắt khỉ
Chương 12:Kỹ thuật chế biến hồng
Chương 13:Kỹ thuật chế biến lê
Chương 14:Kỹ thuật chế biến trái hành
Chương 15:Kỹ thuật chế biến mỡ
Chương 16:Kỹ thuật chế biến dương mai
Chương 17:Kỹ thuật chế biến trái cây nhiệt đới
Chương 18:Kỹ thuật chế biến dau
Chương 19:Kỹ thuật chế biến dương đào,anh đào
Phụ lục: Kỹ thuật chế biến hạt dẻ"
6,Kỹ Thuật Nấu Ăn Toàn Tập,https://khosachonline.com/sach/ky-thuat-nau-an-toan-tap,Ẩm thực - Nấu ăn,Triệu Thị Chơi,"Cuốn sách Kỹ năng nấu ăn bao gồm hết tất cả các kỹ năng để tạo ra 1 bữa ăn ngon trong gia đình, từ những khâu chế biến, sắp xếp, dụng cụ, 1 cách hết sức chi tiết.Tác giả Triệu Thị Chơi và nhiều tác giả khác đã nghiên cứu đúc kết kinh nghiện từ những đầu bếp hang đầu thế giới sẽ đứa đến cho các bạn đọc những bí quyết hết sức quý báu để bạn thành công trong bữa ăn, hơn hết gia đình hạnh phúc ấm no,  Trình bày của cuốn sách hết sức chi tiết và trực quan sinh động, với rất nhiều hình minh họa và các bước làm nên món ngon. Xin chúc các bạn thành công"
7,Kỹ Thuật Pha Chế Sinh Tố - Làm Đẹp Và Trị Bệnh,https://khosachonline.com/sach/ky-thuat-pha-che-sinh-to-lam-dep-va-tri-benh,Ẩm thực - Nấu ăn,Bàng Cẩm,"Sinh tố là thức uống chế biến từ vật liệu trái cây và rau củ tươi, giúp hấp thu bổ sung chất khoáng, vitamin và chất xơ. Ngoài các trái cây và rau củ có thể xay sinh tố, cần bổ sung thêm thực phẩm một cách linh hoạt, hợp lý để tăng hiệu quả giữ gìn sắc đẹp và bảo vệ sức khoẻ.
Xin trân trọng giới thiệu cùng bạn cuốn sách hướng dẫn kỹ thuật pha chế các loại sinh tố
- Sinh tố giúp làm đẹp: sinh tố làm đẹp da, tóc; sinh tố giúp giữ gìn dáng vóc.
- Sinh tố bảo vệ sức khoẻ: sinh tố giúp trừ mệt mỏi; giúp giảm stress; trừ mỏi mắt; điều trị thiếu máu - kém ăn - say rượu - đau vai - rối loạn tiêu hoá; Sinh tố cho phụ nữ mang thai, sau khi sinh...
- Sinh tố phòng và trị bệnh: bệnh gan, bệnh tim mạch, cao huyết áp, bệnh thận, sỏi mật, bệnh tiểu đường..."
8,Kỹ Thuật Chế Biến 300 Món Ăn Ngon,https://khosachonline.com/sach/ky-thuat-che-bien-300-mon-an-ngon,Ẩm thực - Nấu ăn,Nguyễn Thuỳ Linh,"Chắc hẳn, mỗi chúng ta đều biết: Kỹ thuật chế biến món ăn vừa là một khoa học vừa là một nghệ thuật. Món ăn thể hiện nghệ thuật ẩm thực của mỗi vùng, miền, mỗi dân tộc. Hơn nữa, nó còn phản ánh trình độ phát triển và bản sắc văn hoá của mỗi cộng đồng, và để làm được món ăn ngon, thực tế đòi hỏi những người nội trợ, những nghệ nhân nấu ăn phải có kiến thức, kinh nghiệm, đôi bàn tay tài hoa, óc sáng tạo tinh tế.
Kỹ thuật chế biến món ăn vừa là nghệ thuật vừa là một khoa học. Món ăn thể hiện nghệ thuật ẩm thực của mỗi vùng, miền, dân tộc. Tài liệu cung cấp cho bạn bạn đọc kỹ thuật chế biến 300 món ăn ngon.
Mục Lục :
Phần I : Các món ăn chế biến từ động vật
1. Thịt lợn, bò, thỏ.
2. Gà, vịt, chim.
3. Cá, tôm, cua, ốc (thủy sản).
Phần II: Các món ăn chế biến từ thực vật
1. Ngũ cốc.
2. Rau...
3. Các món nấu chay.
Phần III: Các món bánh kẹo
1. Các loại bánh nướng.
2. Các loại bánh hấp.
3. Các bánh in.
4. Loại bánh rán..
5. Các món mứt, kẹo.
6. Các món chè.
 "
9,Giáo Trình Thực Hành Chế Biến Món Ăn,https://khosachonline.com/sach/giao-trinh-thuc-hanh-che-bien-mon-an,Ẩm thực - Nấu ăn,Nguyễn Thị Tuyết - Uông Thị Toan,"“Giáo trình thực hành chế biến món ăn“ này là tài liệu giảng dạy và học tập trong các trường THCN ở Hà Nội, đồng thời là tài liệu thao khảo hữu ích cho các trường có đào tạo các ngành kỹ thuật – nghiệp vụ và đông đảo bạn đọc quan tâm đến vấn đề hướng nghiệp và dạy nghề.
Giáo trình Thực hành chế biến món ăn nhằm giới thiệu đến người tham khảo một số kiến thức và quy trình chế biến các món ăn Á – Âu. Nội dung được chia làm 3 phần:
Phần 1: Chế biến các món ăn cơ bản. 
Phần 2: Chế biến các món ăn Á. 
Phần 3: Chế biến món ăn Âu."
10,Dinh Dưỡng Cho Trẻ Béo Phì,https://khosachonline.com/sach/dinh-duong-cho-tre-beo-phi,Ẩm thực - Nấu ăn,Việt Điền,"Món gà - món vịt là những thức ăn thân thuộc với người Việt Nam từ bao đời nay. Trong bữa cơm gia đình, trong các buổi tiệc sang trọng hay bữa cúng giỗ, hiếm khi nào lại thiếu món gà - món vịt vừa ngon vừa giàu dinh dưỡng này.
Gần 90 món ăn được giới thiệu trong tập sách này là những món chọn lọc, hợp với khẩu vị của người việt, sẽ giúp các bạn nắm được những quy tắc chung nhất để chế biến các món ăn này.
Chúc các bạn thành công."
11,Các Món Ăn Chay Trị Bệnh,https://khosachonline.com/sach/cac-mon-an-chay-tri-benh,Ẩm thực - Nấu ăn,Phan Văn Chiêu - Thiếu Hải,"Sách trình bày khá đầy đủ về giá trị dinh dưỡng của những món ăn chay, kèm theo khả năng trị bệnh của chúng. Hầu hết các công thức chế biến đều đơn giản, dễ làm, không quá cầu kỳ phức tạp. Hơn thế nữa, các tác giả còn tham khảo nhiều tư liệu khoa học để chỉ ra những mối nguy hiểm tiềm tàng của việc ăn thịt. Ngoài ra, sách còn giới thiệu thêm các bảng về nhu cầu acid amin cần cho cơ thể, về hàm lượng kali các thực phẩm thường dùng, về thành phần một số thức ăn thường dùng (cho 100g thức ăn) để bạn đọc tham khảo.
Với hàng trăm cách chế biến các món chay đa dạng, có thể cung ứng cho mọi bữa ăn khác nhau, từ những món canh, món xào, món nguội, món ăn ngọt... cho đến các món bánh, món mì, món điểm tâm... Các Món Ăn Chay Trị Bệnh quả thật có thể xem là một cẩm nang quý giá cho người ăn chay."
12,Các Món Ăn Đặc Sản Miền Nam,https://khosachonline.com/sach/cac-mon-an-dac-san-mien-nam,Ẩm thực - Nấu ăn,Lâm Hoa Phụng,"Đặc điểm món ăn từng miền tuy khác nhau, nhưng vẫn có những điểm tương đồng, thể hiện qua cơ cấu bữa ăn, nguyên tắc chế biến như nước dùng, nước mắm, gia vị hỗn hợp, rau phong phú, các loại nước chấm chế biến đa dạng phù hợp với món ăn. Vì vậy, không chỉ người Việt mà nhiều người nước ngoài đều rất yêu thích văn hóa ẩm thực của đất nước hình chữ S.
Món ăn của người miền Nam đơn giản, không cầu kỳ như chính con người nơi đây là thật thà, giản dị. Miền Nam món ăn đa dạng, biến hóa khôn lường với vị ngọt, cay, béo do sử dụng nước dừa. Các món ăn đặc trưng sử dụng ngọt nhiều: bánh (bánh in, bánh men, bánh ít, bánh bò…), chè (chè kiếm, chè chuối), xôi, nem nướng, cháo gà, gà rô ti… đều sử dụng nước dừa hay cốm dừa để tăng vị béo, vị ngọt. Các món đặc trưng: cá lóc nướng trui, gỏi cuốn, bún mắm, hủ tiếu Nam Vang…"
13,Các Món Ăn Chơi Xôi Chè Việt Nam,https://khosachonline.com/sach/cac-mon-an-choi-xoi-che-viet-nam,Ẩm thực - Nấu ăn,Quỳnh Chi,"Nói đến món ăn thuần tuý Việt Nam thì chúng ta không thể không đề cập tới các món ăn đặc sản đó là nét văn hóa ẩm thực đặc trưng của một dân tộc, ngoài các món ăn thuần tuý này ra còn có các loại món ăn khác dùng hằng ngày đó là các loại Xôi Chè được chế biến qua các loại thực phẩm, củ, quả v.v…

Cuốn sách Xôi chè Việt Nam của tác giả Quỳnh Chi sẽ giới thiệu với các bạn cách nấu các món chè Việt Nam. Sách trình bày đẹp, nhỏ gọn, là một món quà dành cho các bạn gái và các bà nội trợ."
14,Bánh Tây Phương,https://khosachonline.com/sach/banh-tay-phuong,Ẩm thực - Nấu ăn,Nguyễn Thu Dung,"1. Các loại bánh bông lan.
- Bông lang trang trí dâu tươi.
- Bông lang Ya-ua.
- Bông lang kem dâu chua…

2. Các loại bánh mì.
- Bánh gối bơ.
- Bánh dạng sừng…

3. Các loại bánh vỏ giòn.
- Bánh táo.
- Bánh nhân chuối và nho…

4. Các loại bánh nhiều lớp.
- Bánh xúc xích cuộn.
- Bánh bướm.
- Bánh xốp cuộn thịt gà…

5. Các loại bánh su.
- Bánh su kem.
- Bánh xốp mặn.
- Bánh thánh bổn mạng.

6. Các loại bánh khô giòn.
- Bánh điếu thuốc.
- Bánh dừa giòn.
- Bánh dừa…

7. Các loại bánh khác."
15,Sổ Tay Nội Trợ - Các Món Lẩu,https://khosachonline.com/sach/so-tay-noi-tro-cac-mon-lau,Ẩm thực - Nấu ăn,Ngọc Bích,"Món Lẩu là món ăn ngày nay được các nước Châu Á rất ưa thích. Một nồi lẩu bao gồm một bếp (ga, than hay điện) Đang đỏ lửa và nồi nước dùng đang sôi. Các món ăn sống được để xung quanh và người ăn gắp đồ ăn sống bỏ vào nồi nước dùng, đợi chín tới và ăn nóng.
Thông thường đồ ăn dùng làm món lẩu là: Thịt, cá, lươn, rau, nấm, hải sản.. . Ở nhiều nơi, món lẩu thường được ăn vào mùa đông nhằm mục đích giữ thức ăn nóng sốt.
Cuốn sách dài 72 trang và được chia làm 3 phần
Phần 1: Giới thiệu các món lẩu
Phần 2: Cắm hoa nghệ thuật
Phần 3: Mẹo vặt chế biến"
16,555 Món Ăn Việt Nam - Kỹ Thuật Chế Biến Và Giá Trị Dinh Dưỡng,https://khosachonline.com/sach/555-mon-an-viet-nam-ky-thuat-che-bien-va-gia-tri-dinh-duong,Ẩm thực - Nấu ăn,Hải Yến,"555 món ăn Việt Nam - Kỹ thuật chế biến và giá trị dinh dưỡng là cẩm nang chế biến món ăn đúc kết từ 34 năm kinh nghiệm của khoa Khách sạn du lịch - ĐHTM. Đây là tài liệu tham khảo quý giá cho các cán bộ kỹ thuật, các nhà nội trợ và các bạn ưa thích nấu ăn. Sách gồm các phần chủ yếu sau: 

Giới thiệu đặc điểm ăn uống Việt nam, khẩu vị của các miền Bắc, Trung, Nam: cơ sở của ăn uống hợp lý. Giới thiệu cách xây dựng thực đơn cho các bữa ăn thường, cỗ tiệc. 

Giới thiệu 555 công thức quy trình chế biến các món ăn từ rau, củ, quả, thuỷ sản, thịt gia súc, gia cầm, trứng, lương thực, bánh mứt, kẹo, nước giải khát, các món ăn chay, chế độ ăn kiêng theo bệnh lý."
