,Title,Link,Genre,Author,Description
0,31 Tuổi Thì Đã Làm Sao?,https://khosachonline.com/sach/31-tuoi-thi-da-lam-sao,Tâm Lý - Kỹ Năng Sống,Fumio Yamamoto,"Giờ đây tôi đã 31 tuổi, à không, tôi mới chỉ 31 tuổi!
""Cô ấy đã 31 tuổi, phần bụng dưới trong bộ lễ phục size nhỏ vẫn rất phẳng phiu, khó có thể tưởng tượng rằng đó đã là mẹ một đứa trẻ. Dáng người cô ấy rất cao, mỗi lần gặp mặt là một lần tóc của cô ấy trở nên ngắn hơn, và đến nay đã là một mái tóc siêu ngắn. Một sự hấp dẫn mất cân bằng toát ra khiến người ta khó đoán được cô ấy trưởng thành rồi hay vẫn là thơ trẻ. Không thể coi cô ấy là một mỹ nhân, nhưng cũng lại rất thông minh, và dễ chịu.
""Tại sao chúng mình không lấy nhau?
Nghe thấy câu hỏi của tôi, cô ấy mỉm cười.
""Câu này năm nào anh cũng nói đấy"".
"
1,Nền Kinh Tế Thị Trường Và Chính Sách Hai Đồng Nội Tệ,https://khosachonline.com/sach/nen-kinh-te-thi-truong-va-chinh-sach-hai-dong-noi-te,Kinh Tế - Quản Lý,Đỗ Đức Lương,"Nền Kinh Tế Thị Trường Và Chính Sách Hai Đồng Nội Tệ Thông tin tác giả Đỗ Đức Lương Vào trang riêng của tác giả Xem tất cả các sách của tác giả Cả thế giới vừa chia tay năm 2008 trong một tâm trạng nặng nề.
Mọi người đón xuân mới bằng các quyết định thắt chặt chi tiêu nhằm đối phó với cuộc khủng hoảng kinh tế được đánh giá là lớn nhất kể từ cuộc suy thoái công nghiệp ở thập niên 30 của thế kỷ trước.

Mời các bạn đón đọc Nền Kinh Tế Thị Trường & Chính Sách Hai Đồng Nội Tệ của tác giả Đỗ Đức Lương."
2,PR Hiệu Quả,https://khosachonline.com/sach/pr-hieu-qua,Marketing - Bán hàng,Moi Ali,"Những kỹ năng thực tế giúp bạn cách phát triển những kỹ năng trong công tác PR nhằm duy trì thương hiệu của sản phẩm và uy tín của công ty. Những minh họa cụ thể và sinh động khai thác những khía cạnh liên quan đến việc xây dựng và thực hiện những chương trình PR. Với những lời khuyên bổ ích và đặc biệt là 101 bí quyết được trình bày rất súc tích, quyển sách này sẽ là một kim chỉ nam có giá trị cho nghề nghiệp và cho sự thành công của chính bạn.

Mời các bạn đón đọc PR Hiệu Quả của tác giả Moi Ali."
3,Lịch Sử Kiến Trúc Thế Giới - Quyển 1,https://khosachonline.com/sach/lich-su-kien-truc-the-gioi-quyen-1,Kiến Trúc - Xây Dựng,Trần Trọng Chi,"Cuốn sách sẻ giới thiêu đến bạn đọc các kiểu kiến trúc nổi tiếng trên thế giới , giúp các bạn có cái nhìn khái quát hơn về kiến trúc cũng như lịch sự của nó , mong rằng cuốn sách sẻ mang lại nhiều thông tin bổ ích cho các bạn ."
4,"Chuyện Chú Chim, Con Ếch Và Khu Vườn Màu Xanh",https://khosachonline.com/sach/chuyen-chu-chim-con-ech-va-khu-vuon-mau-xanh,Tâm Lý - Kỹ Năng Sống,Elizabeth O. Dulemba,"TỪ BỎ Ư? TRONG TỪ ĐIỂN CỦA TÔI KHÔNG CÓ HAI TỪ ĐẤY!
Đã bao giờ bạn rơi vào tận cùng của chán nản, muốn buông bỏ tất cả?
Đã bao giờ bạn cảm thấy dù nỗ lực thế nào cũng bị hiện thực đánh gục?
Đã bao giờ bạn từ bỏ đam mê chỉ vì không đủ niềm tin, không đủ sức lực?
Nếu đã từng ít nhất một lần rơi vào tình trạng ấy, chắc chắn bạn không nên bỏ lỡ câu chuyện này - câu chuyện về Jack - một cậu bé luôn có mơ ước thay đổi thị trấn nơi mình đang sống.
Dù cho hoàn cảnh có khó khăn, khắc nghiệt đến mấy, Jack cũng chưa bao giờ có ý định từ bỏ thị trấn. Bởi ở đó có gia đình gắn bó, có quê hương ấm áp tình người, có những điều thân thuộc nhưng rất đỗi quan trọng. 
“Chuyện chú chim, con ếch và khu vườn màu xanh” sẽ là một ""La Dolce Vita"" dành cho bạn: Ai trong chúng ta cũng đều muốn sống một cách có ý nghĩa nhất, tận hưởng những điều tốt đẹp nhất mà tạo hóa đã ban tặng.
"
5,500 bài thuốc hay chữa bệnh cao huyết áp,https://khosachonline.com/sach/500-bai-thuoc-hay-chua-benh-cao-huyet-ap,Y Học - Sức Khỏe,"Thang Hy Mãnh, Vương Lợi","500 bài thuốc hay chữa bệnh cao huyết áp – Thang Hy Mãnh, Vương Lợi
Trong các bệnh động mạch tim não, nguyên nhân chủ yếu gây nên tàn phế hoặc tử vong là do phù não, dày mạch vành, tim suy kiệt thì bệnh cao huyết áp gây nên các chứng bệnh trên chiếm tỉ lệ % cao. Do vậy, việc phòng chống và chữa bệnh cao huyết áp trở thành đề tài nghiên cứu cho giới y học toàn cầu.
Xin trân trọng giới thiệu cùng bạn đọc cuốn 500 Bài thuốc hay chữa bệnh cao huyết áp, đúc kết từ hơn 70 loại từ điển y học cổ kim, với 500 bài thuốc uống và bôi, đắp bên ngoài…dễ áp dụng trong việc tự điều trị."
6,557 bài thuốc dân gian gia truyền,https://khosachonline.com/sach/557-bai-thuoc-dan-gian-gia-truyen,Y Học - Sức Khỏe,Âu Anh Khâm,"557 bài thuốc dân gian gia truyền – Âu Anh Khâm
Ngày nay bệnh tật là mối đe dọa nguy hiểm luôn rình rập đối với sức khỏe con người. Ngày nay tuy y học hiện đại đã có những loại thuốc tân dược hiện đại có thể giúp con người ngăn ngừa cũng như điều trị những loại bệnh tật ấy. 
Ngành y học cổ truyền dân gian cũng có những bài thuốc hay và đặc biệt những loại thảo dược ấy chính là những cây cỏ thường gặp trong cuộc sống hàng ngày. Và ebook “557 bài thuốc dân gian gia truyền” ra đời dựa trên nguyên bản của cuốn sách “557 bài thuốc dân gian gia truyền” của tác giả Âu Anh Khâm do nhà xuất bản Thanh Niên ấn hành."
7,Cây thuốc An Giang,https://khosachonline.com/sach/cay-thuoc-an-giang,Y Học - Sức Khỏe,Võ Văn Chi,"Cây thuốc An Giang – Võ Văn Chi
Như chúng ta đều biết, cây cỏ Việt Nam là một nguồn thuốc dân gian vô tận đã được cha ông ta sưu tầm sử dụng ngàn đời nay, góp phần bảo vệ chăm sóc, nâng cao sức khỏe cho con người và duy trì nòi giống. Đã gần 1000 năm nay nhiều học giả đã tổng kết đúc rút thành những bộ sách thuốc nam đồ sộ như Tuệ Tĩnh, Hải Thượng Lãn Ông….
Sách có những nội dung chính sau: Tên gọi. Mô tả. Bộ phận dùng. Nơi sống và thu hái. Tính chất và tác dụng/công dụng. Cách dùng."
8,Bàn tay với sức khỏe con người,https://khosachonline.com/sach/ban-tay-voi-suc-khoe-con-nguoi,Y Học - Sức Khỏe,Trang Chấn Tây,"Bàn tay với sức khỏe con người – Trang Chấn Tây
Cuốn sách giới thiệu một cách hệ thống, toàn diện nội dung nghiên cứu và phương pháp kỹ xảo y học chẩn đoán tay. Đây là cuốn sách khoa học phổ thông có thể dành cho nhân viên y tế cơ sở, sinh viên khoa, bạn đọc phổ thông,…
Sách giới thiệu phương pháp chuẩn đoán và dự báo bệnh tật của con người qua đặc trưng của các đường vân trên ngón tay, bàn tay và sự biến đổi hình thái khí sắc của các khu phản ứng nội tạng trên bàn tay. 
Ngoài ra, sách cũng giới thiệu một số kỹ xảo bấm ấn huyệt vị chỉ định ở tay, tiến hành chữa trị phục hồi và bảo vệ sức khỏe đối với một số bệnh thường gặp."
9,Bộ Luật Lao Động,https://khosachonline.com/sach/bo-luat-lao-dong,Thư Viện Pháp Luật,Quốc Hội Việt Nam,"Bộ luật Lao động (Luật số: 10/2012/QH13) đã được Quốc hội khoá XIII thông qua ngày 18/6/2012, bắt đầu có hiệu lực từ 1/5/2013. Bộ luật lao động gồm 17 chương, 242 điều, tăng 19 điều so với Bộ luật Lao động năm 2006."
